Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
25,Male,180,80,Moderately Active,Omnivore,2000,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,65,Lightly Active,Vegetarian,1600,Tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Apple with almond butter
48,Male,175,95,Sedentary,Vegan,2200,Tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Trail mix
55,Female,160,70,Very Active,Omnivore,2500,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Turkey chili with brown rice,Banana with peanut butter
62,Male,170,85,Sedentary,Vegetarian,2000,Scrambled eggs with whole wheat toast and avocado,Quinoa salad with chickpeas and vegetables,Vegetarian chili with cornbread,Fruit and nut mix
68,Female,155,60,Lightly Active,Vegan,1800,Tofu scramble with veggies,Lentil pasta with vegetables,Vegan stir-fry with brown rice,Hummus and veggie wrap
28,Male,190,100,Moderately Active,Omnivore,3000,Protein pancakes with fruit and nuts,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake
35,Female,170,75,Very Active,Vegetarian,2400,Tofu and veggie breakfast burrito,Black bean burger on a whole wheat bun,Quinoa and vegetable bowl,Cottage cheese with fruit
42,Male,185,110,Moderately Active,Vegan,3200,Tofu and chickpea scramble,Lentil burger with sweet potato fries,Vegan chili with cornbread,Energy bar
58,Female,168,78,Sedentary,Vegan,1900,Overnight oats with fruit and chia seeds,Lentil soup with whole wheat bread,Vegan pasta with vegetables and sauce,Fruit and veggie sticks
25,Male,180,80,Lightly Active,Omnivore,2000,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,65,Moderately Active,Vegan,2200,Tofu scramble with vegetables,Lentil soup with wholegrain bread,Chickpea and vegetable curry,Trail mix with nuts and seeds
48,Male,175,95,Sedentary,Vegetarian,2400,Wholegrain toast with avocado,Black bean salad,Vegetable stir-fry with tofu,Fruit salad with yogurt
55,Female,160,70,Moderately Active,Omnivore,1800,Greek yogurt with granola,Tuna salad sandwich on wholegrain bread,Chicken breast with steamed vegetables,Popcorn
62,Male,170,85,Very Active,Vegan,3000,Tofu and vegetable stir-fry,Lentil and vegetable stew,Vegan chili,Smoothie with protein powder
28,Female,172,60,Lightly Active,Vegan,2000,Tofu scramble with vegetables,Black bean burger on a wholegrain bun,Lentil pasta with vegetables,Trail mix with nuts and seeds
35,Male,185,90,Very Active,Omnivore,2500,Oatmeal with protein powder and fruit,Grilled chicken breast with brown rice,Salmon with roasted vegetables,Fruit and nuts
40,Female,168,75,Moderately Active,Vegetarian,2200,Wholegrain toast with avocado,Lentil soup with wholegrain bread,Vegetable stir-fry with tofu,Fruit salad with yogurt
22,Male,190,100,Lightly Active,Omnivore,2800,Eggs with wholegrain toast,Chicken breast with brown rice,Steak with roasted vegetables,Protein bar
58,Female,155,68,Sedentary,Vegan,1600,Tofu scramble with vegetables,Lentil soup with wholegrain bread,Vegan chili,Fruit and nut mix
24,Female,165,55,Lightly Active,Omnivore,1800,Greek yogurt with berries and granola,Salmon salad with mixed greens and avocado,Chicken stir-fry with brown rice,Apple with peanut butter
38,Male,180,80,Moderately Active,Omnivore,2800,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake
55,Female,160,70,Sedentary,Vegetarian,1600,Tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit
62,Male,175,95,Moderately Active,Omnivore,2200,Eggs with whole wheat toast and avocado,Turkey sandwich on whole wheat bread with vegetables,Chicken and vegetable stir-fry with brown rice,Greek yogurt with fruit and granola
28,Female,170,65,Very Active,Vegan,2400,Tofu scramble with vegetables and avocado,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
45,Male,185,100,Lightly Active,Omnivore,2000,Greek yogurt with fruit and granola,Tuna salad with whole wheat bread,Chicken breast with sweet potato and green beans,Mixed nuts and seeds
68,Female,155,60,Sedentary,Vegan,1400,Tofu scramble with vegetables,Lentil soup with whole wheat bread,Vegan pasta with vegetables and tomato sauce,Apple with peanut butter
32,Male,190,90,Very Active,Omnivore,3000,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake
58,Male,170,85,Moderately Active,Vegetarian,1900,Eggs with whole wheat toast and avocado,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit
22,Female,160,50,Lightly Active,Vegan,1500,Tofu scramble with vegetables,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
25,Female,165,60,Lightly Active,Omnivore,1800,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple slices with peanut butter
38,Male,180,85,Moderately Active,Vegetarian,2800,Tofu scramble with spinach and avocado,Quinoa salad with chickpeas and vegetables,Black bean burgers with sweet potato fries,Mixed nuts and seeds
55,Female,160,65,Sedentary,Vegan,1600,Overnight oats with fruit and chia seeds,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice noodles,Fruit smoothie
